DATE	PLOT_ID	QUAD_ID	clump	tuft
14-11-2017	J1	J1A	1	3
14-11-2017	J1	J1B	0	0
14-11-2017	J1	J1C	0	0
14-11-2017	J2	J2A	4	7
14-11-2017	J2	J2B	9	54
14-11-2017	J2	J2C	8	11
14-11-2017	J3	J3A	0	0
14-11-2017	J3	J3B	1	1
14-11-2017	J3	J3C	2	7
15-11-2017	J4	J4A	4	30
15-11-2017	J4	J4B	6	13
15-11-2017	J4	J4C	11	98
15-11-2017	J5	J5A	32	0
15-11-2017	J5	J5B	1	5
15-11-2017	J5	J5C	2	4
15-11-2017	J6	J6A	7	51
15-11-2017	J6	J6B	9	118
15-11-2017	J6	J6C	2	0
20-11-2017	J7	J7A	0	0
20-11-2017	J7	J7B	4	18
20-11-2017	J7	J7C	5	28
20-11-2017	J8	J8A	8	61
20-11-2017	J8	J8B	13	86
20-11-2017	J8	J8C	10	91
02-11-2017	M1	M1A	13	113
02-11-2017	M1	M1B	4	28
02-11-2017	M1	M1C	9	74
07-11-2017	M2	M2A	6	30
07-11-2017	M2	M2B	5	11
07-11-2017	M2	M2C	6	37
07-11-2017	M3	M3A	4	8
07-11-2017	M3	M3B	3	24
07-11-2017	M3	M3C	3	11
09-11-2017	M4	M4A	5	33
09-11-2017	M4	M4B	2	18
09-11-2017	M4	M4C	2	14
09-11-2017	M5	M5A	0	0
09-11-2017	M5	M5B	0	0
09-11-2017	M5	M5C	1	6
13-11-2017	M6	M6A	0	0
13-11-2017	M6	M6B	0	0
13-11-2017	M6	M6C	2	2
09-11-2017	M7	M7A	0	0
09-11-2017	M7	M7B	0	0
13-11-2017	M7	M7C	0	0
09-11-2017	M8	M8A	0	0
09-11-2017	M8	M8B	0	0
08-11-2017	M8	M8C	0	0
