PLOT_ID	QUADRAT_Direction	QUAD_ID	Tri_ela	type	year
M7	C	M7C	NA	cover	2017
M7	C	M7C	NA	clump	2017
M7	C	M7C	NA	tuft	2017
M6	A	M6A	NA	cover	2017
M6	A	M6A	NA	clump	2017
M6	A	M6A	NA	tuft	2017
M6	B	M6B	NA	cover	2017
M6	B	M6B	NA	clump	2017
M6	B	M6B	NA	tuft	2017
M6	C	M6C	A	cover	2017
M6	C	M6C	2	clump	2017
M6	C	M6C	2	tuft	2017
J1	C	J1C	NA	cover	2017
J1	C	J1C	NA	clump	2017
J1	C	J1C	NA	tuft	2017
J1	B	J1B	NA	cover	2017
J1	B	J1B	NA	clump	2017
J1	B	J1B	NA	tuft	2017
J1	A	J1A	A	cover	2017
J1	A	J1A	1	clump	2017
J1	A	J1A	3	tuft	2017
J2	C	J2C	A	cover	2017
J2	C	J2C	8	clump	2017
J2	C	J2C	11	tuft	2017
J2	B	J2B	A	cover	2017
J2	B	J2B	9	clump	2017
J2	B	J2B	54	tuft	2017
J2	A	J2A	A	cover	2017
J2	A	J2A	4	clump	2017
J2	A	J2A	7	tuft	2017
J3	A	J3A	NA	cover	2017
J3	A	J3A	NA	clump	2017
J3	A	J3A	NA	tuft	2017
J3	B	J3B	A	cover	2017
J3	B	J3B	1	clump	2017
J3	B	J3B	1	tuft	2017
J3	C	J3C	A	cover	2017
J3	C	J3C	2	clump	2017
J3	C	J3C	7	tuft	2017
J4	B	J4B	A	cover	2017
J4	B	J4B	6	clump	2017
J4	B	J4B	13	tuft	2017
J4	A	J4A	A	cover	2017
J4	A	J4A	4	clump	2017
J4	A	J4A	30	tuft	2017
J5	B	J5B	A	cover	2017
J5	B	J5B	1	clump	2017
J5	B	J5B	5	tuft	2017
J6	B	J6B	A	cover	2017
J6	B	J6B	9	clump	2017
J6	B	J6B	118	tuft	2017
J5	C	J5C	A	cover	2017
J5	C	J5C	2	clump	2017
J5	C	J5C	4	tuft	2017
J7	A	J7A	NA	cover	2017
J7	A	J7A	NA	clump	2017
J7	A	J7A	NA	tuft	2017
J7	B	J7B	A	cover	2017
J7	B	J7B	4	clump	2017
J7	B	J7B	18	tuft	2017
J8	B	J8B	A	cover	2017
J8	B	J8B	13	clump	2017
J8	B	J8B	86	tuft	2017
J7	C	J7C	A	cover	2017
J7	C	J7C	5	clump	2017
J7	C	J7C	28	tuft	2017
J8	A	J8A	A	cover	2017
J8	A	J8A	8	clump	2017
J8	A	J8A	61	tuft	2017
J8	C	J8C	A	cover	2017
J8	C	J8C	10	clump	2017
J8	C	J8C	91	tuft	2017
M2	A	M2A	A	cover	2017
M2	A	M2A	6	clump	2017
M2	A	M2A	30	tuft	2017
M2	B	M2B	A	cover	2017
M2	B	M2B	5	clump	2017
M2	B	M2B	11	tuft	2017
M2	C	M2C	A	cover	2017
M2	C	M2C	6	clump	2017
M2	C	M2C	37	tuft	2017
M3	A	M3A	A	cover	2017
M3	A	M3A	4	clump	2017
M3	A	M3A	8	tuft	2017
M3	B	M3B	A	cover	2017
M3	B	M3B	3	clump	2017
M3	B	M3B	24	tuft	2017
M3	C	M3C	A	cover	2017
M3	C	M3C	3	clump	2017
M3	C	M3C	11	tuft	2017
M1	A	M1A	A	cover	2017
M1	A	M1A	NA	clump	2017
M1	A	M1A	113	tuft	2017
M1	B	M1B	A	cover	2017
M1	B	M1B	NA	clump	2017
M1	B	M1B	28	tuft	2017
M1	C	M1C	A	cover	2017
M1	C	M1C	NA	clump	2017
M1	C	M1C	74	tuft	2017
M4	B	M4B	A	cover	2017
M4	B	M4B	2	clump	2017
M4	B	M4B	18	tuft	2017
M4	C	M4C	A	cover	2017
M4	C	M4C	2	clump	2017
M4	C	M4C	14	tuft	2017
M5	A	M5A	NA	cover	2017
M5	A	M5A	NA	clump	2017
M5	A	M5A	NA	tuft	2017
M5	C	M5C	A	cover	2017
M5	C	M5C	1	clump	2017
M5	C	M5C	6	tuft	2017
M7	B	M7B	NA	cover	2017
M7	B	M7B	NA	clump	2017
M7	B	M7B	NA	tuft	2017
M8	B	M8B	NA	cover	2017
M8	B	M8B	NA	clump	2017
M8	B	M8B	NA	tuft	2017
M8	C	M8C	NA	cover	2017
M8	C	M8C	NA	clump	2017
M8	C	M8C	NA	tuft	2017
M8	A	M8A	NA	cover	2017
M8	A	M8A	NA	clump	2017
M8	A	M8A	NA	tuft	2017
M7	A	M7A	NA	cover	2017
M7	A	M7A	NA	clump	2017
M7	A	M7A	NA	tuft	2017
M5	B	M5B	NA	cover	2017
M5	B	M5B	NA	clump	2017
M5	B	M5B	NA	tuft	2017
M4	A	M4A	A	cover	2017
M4	A	M4A	NA	clump	2017
M4	A	M4A	33	tuft	2017
J4	C	J4C	A	cover	2017
J4	C	J4C	NA	clump	2017
J4	C	J4C	98	tuft	2017
J5	A	J5A	A	cover	2017
J5	A	J5A	32	clump	2017
J5	A	J5A	NA	tuft	2017
J6	A	J6A	A	cover	2017
J6	A	J6A	NA	clump	2017
J6	A	J6A	51	tuft	2017
J6	C	J6C	A	cover	2017
J6	C	J6C	2	clump	2017
J6	C	J6C	NA	tuft	2017
M7	C	M7C	NA	cover	2018
M7	C	M7C	NA	clump	2018
M7	C	M7C	NA	tuft	2018
M6	A	M6A	NA	cover	2018
M6	A	M6A	NA	clump	2018
M6	A	M6A	NA	tuft	2018
M6	B	M6B	NA	cover	2018
M6	B	M6B	NA	clump	2018
M6	B	M6B	NA	tuft	2018
M6	C	M6C	NA	cover	2018
M6	C	M6C	NA	clump	2018
M6	C	M6C	NA	tuft	2018
J1	C	J1C	NA	cover	2018
J1	C	J1C	NA	clump	2018
J1	C	J1C	NA	tuft	2018
J1	B	J1B	NA	cover	2018
J1	B	J1B	NA	clump	2018
J1	B	J1B	NA	tuft	2018
J1	A	J1A	A	cover	2018
J1	A	J1A	1	clump	2018
J1	A	J1A	2	tuft	2018
J2	C	J2C	A	cover	2018
J2	C	J2C	1	clump	2018
J2	C	J2C	1	tuft	2018
J2	B	J2B	A	cover	2018
J2	B	J2B	8	clump	2018
J2	B	J2B	35	tuft	2018
J2	A	J2A	A	cover	2018
J2	A	J2A	4	clump	2018
J2	A	J2A	22	tuft	2018
J3	A	J3A	NA	cover	2018
J3	A	J3A	NA	clump	2018
J3	A	J3A	NA	tuft	2018
J3	B	J3B	NA	cover	2018
J3	B	J3B	NA	clump	2018
J3	B	J3B	NA	tuft	2018
J3	C	J3C	A	cover	2018
J3	C	J3C	3	clump	2018
J3	C	J3C	6	tuft	2018
J4	B	J4B	A	cover	2018
J4	B	J4B	6	clump	2018
J4	B	J4B	7	tuft	2018
J4	A	J4A	A	cover	2018
J4	A	J4A	3	clump	2018
J4	A	J4A	13	tuft	2018
J5	B	J5B	A	cover	2018
J5	B	J5B	1	clump	2018
J5	B	J5B	2	tuft	2018
J6	B	J6B	A	cover	2018
J6	B	J6B	11	clump	2018
J6	B	J6B	68	tuft	2018
J5	C	J5C	A	cover	2018
J5	C	J5C	2	clump	2018
J5	C	J5C	3	tuft	2018
J7	A	J7A	NA	cover	2018
J7	A	J7A	NA	clump	2018
J7	A	J7A	NA	tuft	2018
J7	B	J7B	A	cover	2018
