DATE	PLOT_ID	QUAD_ID	clump	tuft
16-11-2018	M7	M7C	NA	NA
16-11-2018	M6	M6A	NA	NA
16-11-2018	M6	M6B	NA	NA
16-11-2018	M6	M6C	NA	NA
08-11-2018	J1	J1C	NA	NA
08-11-2018	J1	J1B	NA	NA
08-11-2018	J1	J1A	1	2
08-11-2018	J2	J2C	1	1
08-11-2018	J2	J2B	8	35
08-11-2018	J2	J2A	4	22
08-11-2018	J3	J3A	NA	NA
08-11-2018	J3	J3B	NA	NA
08-11-2018	J3	J3C	3	6
06-11-2018	J4	J4B	6	7
06-11-2018	J4	J4A	3	13
05-11-2018	J5	J5B	1	2
05-11-2018	J6	J6B	11	68
05-11-2018	J5	J5C	2	3
05-11-2018	J7	J7A	NA	NA
05-11-2018	J7	J7B	2	2
05-11-2018	J8	J8B	13	62
05-11-2018	J7	J7C	2	3
05-11-2018	J8	J8A	14	32
05-11-2018	J8	J8C	5	10
09-11-2018	M2	M2A	3	22
09-11-2018	M2	M2B	4	9
09-11-2018	M2	M2C	7	24
09-11-2018	M3	M3A	NA	NA
09-11-2018	M3	M3B	6	10
09-11-2018	M3	M3C	9	14
16-11-2018	M1	M1A	13	126
16-11-2018	M1	M1B	3	16
16-11-2018	M1	M1C	15	84
15-11-2018	M4	M4B	3	14
15-11-2018	M4	M4C	5	10
15-11-2018	M5	M5A	NA	NA
15-11-2018	M5	M5C	2	5
16-11-2018	M7	M7B	NA	NA
15-11-2018	M8	M8B	NA	NA
15-11-2018	M8	M8C	NA	NA
15-11-2018	M8	M8A	2	3
16-11-2018	M7	M7A	NA	NA
15-11-2018	M5	M5B	NA	NA
15-11-2018	M4	M4A	10	52
06-11-2018	J4	J4C	20	57
05-11-2018	J5	J5A	1	5
05-11-2018	J6	J6A	7	45
05-11-2018	J6	J6C	1	2
