Date	Surveyor	RESERVE	PLOT_ID	QUAD_ID	Air_sp.	Ant_sca	Asp_con	Aus_big	Aus_sca	Ave_sp.	Bot_mac	Bri_min	Bro_hor	Car_lan	Cen_ery	Chr_api	Con_ang	Goo_pin	Hyp_per	Hyp_rad	Lom_cor	Oxa_per	Pan_eff	Pet_nan	Pla_lan	Ryt_car	Ryt_sp.	Tri_arv	Tri_cam	Tri_sub	Tri_pyg	Vul_sp.	Wah_sp.	Aca_ovi	Ari_ram	Art_fim	Aus_den	Bro_dia	Bro_rub	Car_bre	Car_inv	Car_sp.	Cen_ten	Cha_dru	Che_sie	Chei_sp	Chl_tru	Cho_jun	Cir_vul	Cra_sie	Cym_law	Cyn_sua	Des_var	Dic_cri	Dic_sp.	Enn_nig	Era_bro	Eran_sp	Ery_ovi	Euc_jap	Euc_sph	Eup_dal	Gal_div	Gal_sp.	Gam_cal	Gam_pur	Gam_sp.	Gly_cla	Gly_tab	Hal_het	Hor_sp.	Hyp_gra	Hyp_gla	Jun_sp.	Jun_sub	Lep_squ	Lep_sp.	Lin_pel	Lin_spp_(arvensis?)	Lin_tri	Lom_fil	Lom_cor	Lom_mul	Mal_sp.	Mic_sti	Mic_lan	Mic_sp.	Myo_dis	Nas_tri	Oen_mol	Pim_cur	Pla_gau	Pla_var	Poa_exo	Poa_sie	Pol_avi	Pte_sp.	Rum_bro	Ryt_cae	Ryt_pal	Ryt_sp.	Ryt_sp2	Ryt_sp3	Ryt_sp4	Sal_ver	San_min	Sch_apo	Scl_bif	Sen_sp.	Sol_dom	Son_asp	Son_sp.	The_tri	Tol_bar	Tra_por	Tri_ela	Tri_ang	Tri_dub	Tri_glo	Tri_sp.	Tri_str	Urt_inc	Uni_gra_sp	Uni_gra_sp2	Uni_sp2	Vit_cun	Vit_gre	Vit_gra	Vit_mue	Vul_bro	Wah_com	Wah_gta	Wah_lut	Wah_mul	Wah_sp.	Wah_sp2	Wur_dio	Xan_spi	Zor_dyc
14-11-2017	TH	J	J1	J1A	0	1	0	3	0	0	W	0	0	0	0	10	0	0	0	W	3	3	W	1	0	X	0	4	1	0	1	Y	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J1	J1B	1	1	0	1	0	0	W	0	1	0	3	11	0	0	0	8	0	2	2	1	0	W	3	5	0	7	8	Y	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J1	J1C	0	3	0	8	0	0	W	0	0	0	0	22	0	0	0	W	1	1	9	1	0	X	W	9	0	6	1	Y	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	W	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J2	J2A	0	9	0	2	0	0	W	0	0	0	0	23	0	0	0	11	3	0	6	0	0	X	4	0	0	0	2	W	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	W	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J2	J2B	0	2	0	0	0	0	W	0	0	0	0	20	0	0	0	W	1	0	1	0	0	W	W	2	0	0	0	W	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	W	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	9	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J2	J2C	0	0	0	2	0	0	W	0	0	0	0	24	0	0	0	W	0	0	2	0	0	X	W	0	0	0	0	X	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	X	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0
14-11-2017	TH	J	J3	J3A	W	0	0	1	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	6	0	W	W	0	0	1	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J3	J3B	1	0	0	1	0	1	0	0	0	0	0	18	0	0	0	0	0	0	0	12	0	W	W	2	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	142	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-11-2017	TH	J	J3	J3C	0	0	0	0	1	1	0	0	0	0	0	13	1	0	0	6	0	2	4	W	0	X	0	1	0	5	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	6	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	6	0	0	0	2	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
15-11-2017	TH	J	J4	J4A	W	11	0	1	0	0	5	1	1	0	1	4	0	56	0	2	0	10	6	11	0	W	0	7	2	2	9	X	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	12	0	0	30	11	0	0	W	0	7	0	0	1	2	0	0	1	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	W	1	4	0	0	2	0	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
15-11-2017	TH	J	J4	J4B	5	6	0	8	0	0	2	0	0	0	0	15	6	1	0	W	2	2	1	0	0	W	W	0	0	0	25	2	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	6	0	1	2	0	0	26	26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	2	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15-11-2017	MM	J	J4	J4C	1	2	0	0	0	0	4	0	0	0	0	20	0	18	0	1	4	2	7	7	0	X	0	4	2	1	23	W	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	44	19	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	.	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	18	0	0	0	0
15-11-2017	MM	J	J5	J5A	W	0	0	0	0	4	5	0	0	0	0	14	3	0	0	14	2	0	5	4	0	X	1	2	0	4	0	Y	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
15-11-2017	TH	J	J5	J5B	W	7	0	4	0	1	0	0	2	0	4	7	0	24	0	8	5	0	8	X	0	W	W	7	0	0	0	W	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	W	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
