Date	Surveyor	RESERVE	PLOT_ID	QUAD_ID	Air_sp	Ant_sca	Asp_con	Aus_big	Aus_sca	Ave_sp	Bot_mac	Bri_min	Bro_hor	Car_lan	Cen_ery	Chr_api	Con_ang	Goo_pin	Hyp_per	Hyp_rad	Lom_fil_cor	Med_sp	Oxa_per	Pan_eff	Pet_nan	Pla_lan	Ryt_car	Ryt_sp	Tri_arv	Tri_cam	Tri_sub	Tri_pyg	Vul_sp	Wah_sp	Aca_dea	Aca_nov	Aca_ovi	Ace_vul	Aju_aus	Alt_den	Alt_nan	Alt_spp	Amp_ner	Ana_arv	Aph_arv	Aph_sp	Arc_cal	Ari_ram	Art_fim	Art_mil	Art_min	Ast_hum	Aus_den	Aus_spp	Bac_sp	Bar_lat	Bos_bux	Bos_fol	Bos_pro	Bri_max	Bro_car	Bro_dia	Bro_rub	Bro_sp	Bul_bul	Cal_cal	Cal_cit	Cal_lap	Cap_bur	Car_app	Car_bre	Car_inv	Car_sp	Cen_sp	Cen_ten	Cer_glo	Cer_sp	Cha_dru	Che_aus	Che_dis	Che_sie	Che_sp	Che_sp	Chl_tru	Cho_jun	Chr_sem	Cic_qua	Cir_vul	Con_sp	Cot_aus	Cra_var	Cra_sie	Cry_ama	Cry_spe	Cym_law	Cym_ref	Cyn_dac	Cyn_sua	Cyn_ech	Cyp_era	Cyp_spp	Dac_glo	Dau_glo	Des_var	Dia_lon	Dia_rev	Dic_cri	Dic_mic	Dic_sp	Dic_rep	Dil_ser	Dod_vis	Dro_aur	Dro_pel	Dys_pum	Ech_cae	Ech_pla	Ech_vul	Ein_nut	Ele_acu	Ele_sp	Ele_tri	Enn_nig	Epi_bil	Epi_sp2	Epi_spp	Era_bro	Era_cur	Era_sp_Tall_ALG	Era_sp_native	Ero_bra	Ero_cic	Ero_cri	Ero_sp	Ery_ovi	Euc_inv	Euc_jap	Euc_sp_native	Euc_sph	Eup_dal	Fes_aru	Fes_sp	Gal_div	Gal_gau	Gal_sp_exotic	Gam_ame	Gam_cal	Gam_pur	Gam_sp	Ger_ret	Ger_sol	Gly_cla	Gly_tab	Gon_tet	Goo_hed	Hal_het	Har_vio	Hel_lut	Hib_obt	Hib_rip	Hir_inc	Hol_lan	Hor_Critesion_sp	Hov_het	Hyd_lax	Hyp_gra	Hyp_gla	Hyp_hyg	Iso_gra	Iso_gau	Iso_flu	Jun_aus	Jun_buf	Jun_cap	Jun_fil	Jun_foc	Jun_sp_native	Jun_sub	Jun_usi	Lac_fil	Lac_sal	Lac_ser	Lep_afr	Lep_squ	Lep_sp	Lig_sp	Lin_pel	Lin_spp_arvensis?	Lin_sp	Lin_mar	Lin_trig_yellow	Lis_str	Lol_per	Lol_rig	Lom_bra	Lom_fil	Lom_fil_cor	Lom_lon	Lom_mul	Luz_den	Lyc_fer	Lyt_hys	Mal_sp	Mel_urc	Men_die	Mic_sti	Mic_lan	Mic_sp	Mic_uni	Mod_car	Moe_ere	Mon_fon	Myo_dis	Nas_nee	Nas_tri	Oen_mol	Oen_str	Ono_aca	Ope_his	Oph_lus	Oro_min	Par_lat	Par_bra	Pas_dil	Pen_sp	Per_pro	Per_sp	Pha_aqu	Pim_cur	Pla_gau	Pla_var	Poa_exotic	Poa_lab	Poa_pra	Poa_sie	Pol_avi	Por_mic	Pru_sp	Psi_inc	Pte_sp	Pyr_sp	Ran_pum	Ran_tri	Rom_sp	Ros_rub	Rub_fru	Rub_parv	Rum_bro	Rum_cri	Rum_dum	Rum_sp	Ryt_cae	Ryt_lae	Ryt_pal	Ryt_pil	Ryt_rac	Ryt_sp	Ryt_sp2	Ryt_sp3_large	Ryt_sp4	Sal_ver	San_min	Sch_apo	Scl_bif	Seb_ova	Sen_qua	Sen_sp	Set_par	She_arv	Sil_gal	Sol_che	Sol_cin	Sol_nig	Sol_dom	Son_asp	Son_ole	Son_spp	Sor_lei	Sta_mon	Ste_pun	Stu_ham	Swa_ser	Tar_sec_rud	Tar_spp	The_tri	Tol_bar	Tra_por	Tri_ela	Tri_ang	Tri_dub	Tri_glo	Tri_sp	Tri_ste	Tri_str	Urt_inc	Uni_gra_sp	Uni_gra_sp2	Uni_exo_sp	Uni_sp	Uni_sp2	Vel_par	Ver_tha	Ver_vir	Ver_bon	Vit_cun	Vit_cun_green	Vit_gra	Vit_mue	Vul_bro	Vul_mur	Wah_com	Wah_gra	Wah_gra	Wah_lut	Wah_mul	Wah_sp	Wah_sp2	Wah_str	Wur_dio	Xan_spi	Xer_vis	Zor_dyc
14/11/17	TH	J	J1	J1A	0	1	0	3	0	0	W	0	0	0	0	10	0	0	0	W	3	0	3	W	1	0	X	0	4	1	0	1	Y	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J1	J1B	1	1	0	1	0	0	W	0	1	0	3	11	0	0	0	8	0	0	2	2	1	0	W	3	5	0	7	8	Y	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J1	J1C	0	3	0	8	0	0	W	0	0	0	0	22	0	0	0	W	1	0	1	9	1	0	X	W	9	0	6	1	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J2	J2A	0	9	0	2	0	0	W	0	0	0	0	23	0	0	0	11	3	0	0	6	0	0	X	4	0	0	0	2	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J2	J2B	0	2	0	0	0	0	W	0	0	0	0	20	0	0	0	W	1	0	0	1	0	0	W	W	2	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J2	J2C	0	0	0	2	0	0	W	0	0	0	0	24	0	0	0	W	0	0	0	2	0	0	X	W	0	0	0	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	X	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0
14/11/17	TH	J	J3	J3A	W	0	0	1	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	6	0	W	W	0	0	1	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J3	J3B	1	0	0	1	0	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	12	0	W	W	2	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14/11/17	TH	J	J3	J3C	0	0	0	0	1	1	0	0	0	0	0	13	1	0	0	6	0	0	2	4	W	0	X	0	1	0	5	0	X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
15/11/17	TH	J	J4	J4A	W	11	0	1	0	0	5	1	1	0	1	4	0	56	0	2	0	0	10	6	11	0	W	0	7	2	2	9	X	12	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	30	0	11	0	0	0	0	0	W	0	0	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	W	1	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
