Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare			
"""Acacia dealbata """	Aca_dea	Perennial	0	1	0	Leguminous_shrub	B	N	1	NA			
"""Acaena novae-zelandiae"""	Aca_nov	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Acaena ovina"""	Aca_ovi	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Acetosella vulgaris"""	Ace_vul	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Aira sp."""	Air_sp.	Annual	1	0	0	C3	Z	E	NA	NA			
"""Ajuga australis"""	Aju_aus	Perennial	0	0	1	Herb	A	N	1	NA			
"""Alternanthera denticulata"""	Alt_den	Annual	0	0	1	Herb	C	N	NA	NA			
"""Alternanthera nana"""	Alt_nan	Annual	0	0	1	Herb	C	N	1	NA			
"""Alternanthera sp."""	Alt_sp.	Annual	0	0	1	Herb	C	E	NA	NA			
"""Amphibromus nervosus """	Amp_ner	Perennial	1	0	0	C3	C	N	NA	NA			
"""Anagallis arvensis"""	Ana_arv	Annual_Perennial	0	0	1	Herb	Z	E	NA	NA			
"""Anthosachne scaber (Elymus)"""	Ant_sca	Perennial	1	0	0	C3	C	N	NA	NA			
"""Aphanes arvensis """	Aph_arv	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Aphanes sp """	Aph_sp	Annual	0	0	1	Herb	NA	N	NA	NA			
"""Arctotheca calendula"""	Arc_cal	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Aristida ramosa"""	Ari_ram	Perennial	1	0	0	C4	C	N	NA	NA			
"""Arthropodium fimbriatum"""	Art_fim	Perennial	0	0	1	Herb	A	N	1	NA			
"""Arthropodium milleflorum"""	Art_mil	Perennial	0	0	1	Herb	A	N	1	NA			
"""Arthropodium minus """	Art_min	Perennial	0	0	1	Herb	A	N	1	NA			
"""Asperula conferta"""	Asp_con	Perennial	0	0	1	Herb	B	N	1	NA			
"""Astroloma humifusum"""	Ast_hum	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Austrostipa bigeniculata"""	Aus_big	Perennial	1	0	0	C3	C	N	NA	NA			
"""Austrostipa densiflora"""	Aus_den	Perennial	1	0	0	C3	C	N	NA	NA			
"""Austrostipa scabra"""	Aus_sca	Perennial	1	0	0	C3	C	N	NA	NA			
"""Austrostipa sp. (short tussock)"""	Aus_sp.	Perennial	1	0	0	C3	C	N	NA	NA			
"""Avena sp."""	Ave_sp.	Annual	1	0	0	C3	Z	E	NA	NA			
"""Bacopa sp. """	Bac_sp	Perennial	0	0	1	Herb	NA	NA	NA	NA			
"""Bartsia latifolia"""	Bel_lat	Annual	0	0	1	Herb	z	E	NA	NA			
"""Bossiaea buxifolia """	Bos_bux	Perennial	0	0	0	Leguminous_shrub	A	N	1	NA			
"""Bossiaea foliosa"""	Bos_fol	Perennial	0	0	0	Leguminous_shrub	A	N	1	NA			
