DATE	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/13/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/14/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/20/2017	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/7/17	11/2/17	11/2/17	11/2/17	11/2/17	11/2/17	11/2/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/8/17	11/8/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/9/17	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017	11/15/2017
Surveyor	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	MM+TH	MM+TH	MM+TH	MM+TH	MM+TH	MM+TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	MM	MM	MM	MM	MM	MM	MM	MM	MM	MM	MM	MM	MM	MM
Species_Count	39	39	31	31	29	29	27	27	27	27	30	30	24	24	18	18	22	22	20	20	15	15	18	18	25	29	39	39	28	31	28	28	18	18	20	20	26	26	27	27	26	26	30	30	32	32	28	28	33	33	33	33	30	30	30	30	25	25	29	29	26	26	25	25	31	31	30	30	30	30	35	35	36	36	23	23	25	25	26	26	26	26	32	32	28	28	23	22	23	23
PLOT_ID	M7	M7	M6	M6	M6	M6	M6	M6	J1	J1	J1	J1	J1	J1	J2	J2	J2	J2	J2	J2	J3	J3	J3	J3	J3	J4	J4	J4	J5	J6	J5	J5	J7	J7	J7	J7	J8	J8	J7	J7	J8	J8	J8	J8	M2	M2	M2	M2	M2	M2	M3	M3	M3	M3	M3	M3	M1	M1	M1	M1	M1	M1	M4	M4	M4	M4	M5	M5	M5	M5	M7	M7	M8	M8	M8	M8	M8	M8	M7	M7	M5	M5	M4	M4	J4	J4	J5	J6	J6	J6
QUADRAT_Direction	C	C	A	A	B	B	C	C	C	C	B	B	A	A	C	C	B	B	A	A	A	A	B	B	C	B	A	A	B	B	C	C	A	A	B	B	B	B	C	C	A	A	C	C	A	A	B	B	C	C	A	A	B	B	C	C	A	A	B	B	C	C	B	B	C	C	A	A	C	C	B	B	B	B	C	C	A	A	A	A	B	B	A	A	C	C	A	A	C	C
QUAD_ID	M7C	M7C	M6A	M6A	M6B	M6B	M6C	M6C	J1C	J1C	J1B	J1B	J1A	J1A	J2C	J2C	J2B	J2B	J2A	J2A	J3A	J3A	J3B	J3B	J3C	J4B	J4A	J4A	J5B	J6B	J5C	J5C	J7A	J7A	J7B	J7B	J8B	J8B	J7C	J7C	J8A	J8A	J8C	J8C	M2A	M2A	M2B	M2B	M2C	M2C	M3A	M3A	M3B	M3B	M3C	M3C	M1A	M1A	M1B	M1B	M1C	M1C	M4B	M4B	M4C	M4C	M5A	M5A	M5C	M5C	M7B	M7B	M8B	M8B	M8C	M8C	M8A	M8A	M7A	M7A	M5B	M5B	M4A	M4A	J4C	J4C	J5A	J6A	J6C	J6C
"Aira sp."	A	W	A	1	A	5	A	2	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	A	W	A	1	NA	A	A	W	W	A	A	5	NA	NA	NA	NA	NA	NA	NA	NA	A	1	A	6	A	X	A	X	A	W	A	X	A	W	A	W	A	W	A	W	A	7	A	X	A	W	A	W	A	W	A	W	A	W	A	2	A	Y	A	X	A	X	A	Y	A	1	W	A	NA	NA
"Anthosachne scaber"	A	5	A	8	A	8	A	2	A	3	A	1	A	1	NA	NA	A	2	A	9	NA	NA	NA	NA	NA	A	A	11	7	A	A	2	A	4	NA	NA	A	5	A	W	A	7	A	10	A	2	A	10	A	4	A	7	A	W	A	6	A	2	A	1	A	1	A	8	A	4	A	6	A	2	A	W	A	3	A	9	A	1	A	4	A	3	A	4	A	2	NA	NA	A	6
"Asperula conferta"	A	4	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	A	2	NA	NA	A	1	NA	NA	NA	NA	A	8	NA	NA	A	5	A	1	NA	NA	NA	NA	A	46	NA	NA	NA	NA	A	2	NA	NA	NA	NA	A	32	NA	NA	NA	NA	NA	NA
"Austrostipa bigeniculata"	A	W	NA	NA	A	4	A	W	A	8	A	1	A	3	A	2	NA	NA	A	2	A	1	A	1	NA	A	A	1	4	A	A	2	A	9	A	6	NA	NA	A	C	A	1	A	4	A	1	A	W	A	6	A	2	A	1	NA	NA	A	2	A	15	A	10	A	8	A	3	NA	NA	A	W	A	13	NA	NA	A	3	NA	NA	A	18	NA	NA	A	1	NA	NA	NA	NA	NA	NA
"Austrostipa scabra"	A	1	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Avena sp."	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	1	NA	NA	NA	1	A	NA	NA	NA	NA	A	6	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA
"Bothriochloa macra"	C	W	A	W	B	W	A	1	A	W	B	W	A	W	A	W	B	W	A	W	NA	NA	NA	NA	NA	A	A	5	NA	A	A	W	A	W	B	9	A	W	A	W	A	W	A	3	A	7	A	9	A	W	A	4	C	W	A	1	A	2	A	3	B	W	B	W	A	1	A	W	A	2	B	W	A	W	A	7	NA	NA	A	18	B	W	B	W	A	4	5	A	A	9
"Briza minor"	A	1	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	A	2	A	1	A	5	A	W	A	2	A	1	A	2	NA	NA	NA	NA	A	2	A	5	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA
"Bromus hordeaceus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	2	NA	NA	NA	A	1	NA	NA	NA	NA	A	W	NA	NA	NA	NA	A	2	A	2	A	1	NA	NA	NA	NA	NA	NA	A	X	A	X	A	W	A	6	NA	NA	A	1	A	Y	A	1	A	3	NA	NA	A	1	NA	NA	NA	NA	A	5	NA	NA	NA	NA	NA	NA
"Carthamus lanatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Centaurium erythraea"	A	7	A	7	A	W	A	W	NA	NA	A	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	1	4	NA	A	5	NA	NA	A	2	NA	NA	NA	NA	A	4	A	W	A	W	A	9	A	1	A	W	A	W	A	W	A	5	NA	NA	NA	NA	A	6	A	4	A	W	A	1	A	6	A	W	NA	NA	A	2	NA	NA	A	W	A	W	NA	NA	NA	A	A	4
