DATE	43420	43420	43420	43420	43420	43420	43420	43420	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43412	43410	43410	43410	43410	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43409	43413	43413	43413	43413	43413	43413	43413	43413	43413	43413	43413	43413	43420	43420	43420	43420	43420	43420	43419	43419	43419	43419	43419	43419	43419	43419	43420	43420	43419	43419	43419	43419	43419	43419	43420	43420	43419	43419	43419	43419	43410	43410	43409	43409	43409	43409	43409	43409
Surveyor	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH
Species_Count	22	22	26	26	21	21	22	22	18	18	20	20	19	19	16	16	15	15	13	13	7	7	9	9	16	16	11	11	16	16	15	15	17	17	16	16	10	10	14	14	14	14	21	21	15	15	20	20	25	25	19	19	24	24	29	29	19	19	17	17	23	23	24	24	17	17	18	18	24	24	17	17	24	24	29	29	30	30	18	18	20	20	20	20	20	20	33	33	16	16	17	17	12	12	20	20
PLOT_ID	M7	M7	M6	M6	M6	M6	M6	M6	J1	J1	J1	J1	J1	J1	J2	J2	J2	J2	J2	J2	J3	J3	J3	J3	J3	J3	J4	J4	J4	J4	J5	J5	J6	J6	J5	J5	J7	J7	J7	J7	J8	J8	J7	J7	J8	J8	J8	J8	M2	M2	M2	M2	M2	M2	M3	M3	M3	M3	M3	M3	M1	M1	M1	M1	M1	M1	M4	M4	M4	M4	M5	M5	M5	M5	M7	M7	M8	M8	M8	M8	M8	M8	M7	M7	M5	M5	M4	M4	J4	J4	J5	J5	J6	J6	J6	J6
QUADRAT_Direction	C	C	A	A	B	B	C	C	C	C	B	B	A	A	C	C	B	B	A	A	A	A	B	B	C	C	B	B	A	A	B	B	B	B	C	C	A	A	B	B	B	B	C	C	A	A	C	C	A	A	B	B	C	C	A	A	B	B	C	C	A	A	B	B	C	C	B	B	C	C	A	A	C	C	B	B	B	B	C	C	A	A	A	A	B	B	A	A	C	C	A	A	A	A	C	C
QUAD_ID	M7C	M7C	M6A	M6A	M6B	M6B	M6C	M6C	J1C	J1C	J1B	J1B	J1A	J1A	J2C	J2C	J2B	J2B	J2A	J2A	J3A	J3A	J3B	J3B	J3C	J3C	J4B	J4B	J4A	J4A	J5B	J5B	J6B	J6B	J5C	J5C	J7A	J7A	J7B	J7B	J8B	J8B	J7C	J7C	J8A	J8A	J8C	J8C	M2A	M2A	M2B	M2B	M2C	M2C	M3A	M3A	M3B	M3B	M3C	M3C	M1A	M1A	M1B	M1B	M1C	M1C	M4B	M4B	M4C	M4C	M5A	M5A	M5C	M5C	M7B	M7B	M8B	M8B	M8C	M8C	M8A	M8A	M7A	M7A	M5B	M5B	M4A	M4A	J4C	J4C	J5A	J5A	J6A	J6A	J6C	J6C
Aira sp. 	A	1	A	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	W	NA	NA	NA	NA	A	X	NA	NA	NA	NA	A	W	A	1	NA	NA	NA	NA	NA	NA	A	W	NA	NA	NA	NA	A	4	NA	NA	A	W	A	W	NA	NA	A	X	NA	NA	A	W	NA	NA	NA	NA
Anthosachne scaber	A	1	A	15	A	2	A	5	A	5	A	14	NA	NA	A	2	A	2	A	8	NA	NA	NA	NA	A	1	A	1	A	W	NA	NA	A	7	A	1	A	1	NA	NA	A	W	A	2	A	2	A	6	A	9	A	5	A	2	A	4	A	13	A	4	A	1	A	3	A	10	A	4	A	3	A	5	A	1	A	9	A	2	A	5	A	W	A	W	A	1	A	3	NA	NA	A	3	A	1	A	3
Asperula conferta 	A	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	7	A	5	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	A	2	NA	NA	NA	NA	NA	NA	A	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	8	NA	NA	NA	NA	NA	NA	NA	NA
Austrostipa bigeniculata 	A	W	A	2	A	1	A	W	A	12	A	3	A	5	A	3	A	12	A	8	NA	NA	NA	NA	NA	NA	A	5	A	4	A	14	A	4	A	7	A	14	A	1	A	10	A	4	A	7	A	6	A	5	A	W	A	6	A	5	A	7	NA	NA	A	3	B	W	A	13	A	14	A	5	NA	NA	B	W	A	W	NA	NA	A	4	NA	NA	B	W	NA	NA	A	12	A	11	A	10	A	6	A	2
Austrostipa scabra 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	NA	NA	NA	NA	A	7	A	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	A	3	A	2
