species	sp	duration	grass	legume	herb	func_grp	indicator	nat_exo	status	rare
"Acacia dealbata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acaena novae-zelandiae"	Aca_nov	Perennial	0	0	1	Herb	C	N	NA	NA
"Acaena ovina"	Aca_ovi	Perennial	0	0	1	Herb	C	N	NA	NA
"Acetosella vulgaris"	Ace_vul	Perennial	0	0	1	Herb	NA	E	NA	NA
"Aira sp."	Air_sp.	Annual	1	0	0	C3	NA	E	NA	NA
"Ajuga australis"	Aju_aus	Perennial	0	0	1	Herb	2	N	I	NA
"Alternanthera denticulata"	Alt_den	Annual	0	0	1	Herb	C	N	NA	NA
"Alternanthera nana"	Alt_nan	Annual	0	0	1	Herb	C	N	I	NA
"Alternanthera spp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Amphibromus nervosus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Anagallis arvensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Anthosachne scaber"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aphanes arvensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aphanes sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Arctotheca calendula"	Arc_cal	Annual	0	0	1	Herb	NA	E	NA	NA
"Aristida ramosa"	Ari_ram	Perennial	1	0	0	C4	C	N	NA	NA
"Arthropodium fimbriatum"	Art_fim	Perennial	0	0	1	Herb	NA	N	I	NA
"Arthropodium milleflorum"	Art_mil	Perennial	0	0	1	Herb	2	N	I	NA
"Arthropodium minus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Asperula conferta"	Asp_con	Perennial	0	0	1	Herb	2	N	I	NA
"Astroloma humifusum"	Ast_hum	Perennial	0	0	0	Woody_shrub	2	N	I	NA
"Austrostipa bigeniculata"	Aus_big	Perennial	1	0	0	C3	C	N	NA	NA
"Austrostipa densiflora"	Aus_den	Perennial	1	0	0	C3	C	N	NA	NA
"Austrostipa scabra"	Aus_sca	Perennial	1	0	0	C3	C	N	NA	NA
"Austrostipa spp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Avena sp."	Ave_sp.	Annual	1	0	0	C3	NA	E	NA	NA
"Bacopa sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bartsia latifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bossiaea buxifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bossiaea foliosa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bossiaea prostrata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Bothriochloa macra"	Bot_mac	Perennial	1	0	0	C4	C	N	NA	NA
"Briza maxima"	Bri_max	Annual	1	0	0	C3	NA	E	NA	NA
"Briza minor"	Bri_min	Annual	1	0	0	C3	NA	E	NA	NA
"Bromus carthaticus"	Bro_car	Annual	1	0	0	C3	NA	E	NA	NA
"Bromus diandrus"	Bro_dia	Annual	1	0	0	C3	NA	E	NA	NA
"Bromus hordeaceus"	Bro_hor	Annual	1	0	0	C3	NA	E	NA	NA
"Bromus rubens"	Bro_rub	Annual	1	0	0	C3	NA	E	NA	NA
"Bromus sp."	Bro_sp.	Annual	1	0	0	C3	NA	E	NA	NA
"Bulbine bulbosa"	Bul_bul	Perennial	0	0	1	Herb	2	N	I	NA
"Calandrinia calyptrata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Calocephalus citreus"	Cal_cit	Perennial	0	0	1	Herb	2	N	I	NA
"Calotis lappulacea"	Cal_lap	Perennial	0	0	1	Herb	2	N	I	R
"Capsella bursa-pastoris"	Cap_bur	Annual	0	0	1	Herb	NA	E	NA	NA
"Carex appressa "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Carex breviculmis"	Car_bre	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Carex inversa"	Car_inv	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Carex sp."	Car_sp.	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA
"Carthamus lanatus"	Car_lan	Annual	0	0	1	Herb	NA	E	NA	NA
"Centaurium erythraea"	Cen_ery	Annual	0	0	1	Herb	NA	E	NA	NA
"Centaurium sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Centaurium tenuiflorum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cerastium glomeratum"	Cer_glo	Annual	0	0	1	Herb	NA	E	NA	NA
"Cerastium sp."	Cer_sp.	Annual	0	0	1	Herb	NA	E	NA	NA
"Chamaesyce drummondii"	Cha_dru	Perennial	0	0	1	Herb	C	N	NA	NA
"Cheilanthes austrotenuifolia"	Che_aus	Perennial	0	0	0	Fern	2	N	NA	NA
"Cheilanthes distans"	Che_dis	Perennial	0	0	0	Fern	2	N	I	R
"Cheilanthes sieberi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Cheilanthes sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Chenopodium sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
