group	rich_records	ylab	no_rich0	no_invsimp0	fit_bin	fit_pos	bin_3wayP	bin_2wayP	rich_3wayP	rich_2wayP	invsimp_3wayP	invsimp_2wayP	bin_resP	bin_resM_coef	rich2w_resP	rich2w_resM_coef	invsimp2w_resP	invsimp2w_resM_coef	bin_resM_se	rich2w_resM_se	invsimp2w_resM_se
all	3073	All	0	0	no	yes	NA	NA	0.7348	0.3749	0.3018	0.2283	NA	NA	0	0.2267	0.0088	0.2114	NA	0.0531	0.0807
native	2305	Native	0	0	no	yes	NA	NA	0.5191	0.8445	0.6228	0.1775	NA	NA	0.0149	0.1481	0.0726	0.1829	NA	0.0609	0.1019
exotic	768	Exotic	11	11	no	yes	NA	NA	0.0727	0	0.2242	0.3339	NA	NA	1e-04	0.4791	0.0562	0.2129	NA	0.1257	0.1115
indic	1195	Indicator	0	0	no	yes	NA	NA	0.5674	0.7505	0.6343	0.1347	NA	NA	0	0.3194	0.0137	0.2442	NA	0.0658	0.0991
sigA	823	Significance A	0	0	no	yes	NA	NA	0.6754	0.671	0.5596	0.5957	NA	NA	9e-04	0.2714	0.0032	0.2479	NA	0.0819	0.0841
sigB	372	Significance B	5	5	no	yes	NA	NA	0.4617	0.9841	0.0018	NA	NA	NA	1e-04	0.4257	NA	NA	NA	0.1111	NA
sigC	1110	Common/Increaser	0	0	no	yes	NA	NA	0.7819	0.8303	0.4811	0.1494	NA	NA	0.6075	-0.038	0.9365	-0.008	NA	0.074	0.1001
sigXY	236	Significance X/Y	23	23	no	yes	NA	NA	0.2886	0.2459	0.2203	0.8454	NA	NA	5e-04	0.5364	0.0682	0.179	NA	0.1534	0.0982
sigZ	532	Significance Z	30	30	yes	yes	0.596684704062516	0.542515432692303	0.2532	1	0.1157	0.4449	0.1475	0.8299	0.0075	0.4571	0.2977	0.1304	0.573	0.1709	0.1252
native_herb	1298	Native forb	0	0	no	yes	NA	NA	0.6827	0.6791	0.7263	0.0554	NA	NA	1e-04	0.2833	0.0303	0.2169	NA	0.0701	0.1002
exotic_herb	537	Exotic forb	19	19	no	yes	NA	NA	0.1595	0.0019	0.1303	0.0831	NA	NA	0.0012	0.446	0.049	0.1777	NA	0.1378	0.0903
exann_herb	424	Exotic annual forb	31	31	yes	yes	0.67936157811425	0.147987111456946	0.0393	NA	0.0145	NA	0.0096	2.0314	NA	NA	NA	NA	0.7841	NA	NA
exper_herb	113	Exotic perennial forb	45	45	yes	yes	0.762424809095329	0.340117866646477	1	1	0.172	0.7755	0.1919	0.9542	0.3978	0.1598	0.5753	0.0238	0.7312	0.189	0.0424
natann_herb	215	Native annual forb	8	8	no	yes	NA	NA	0.9246	0.9618	0.4562	0.067	NA	NA	0.6578	-0.0715	0.597	-0.0356	NA	0.1614	0.0673
natper_herb	1083	Native perennial forb	0	0	no	yes	NA	NA	0.636	0.5764	0.674	0.4658	NA	NA	0	0.3538	0.0108	0.2652	NA	0.0765	0.104
native_nonlegherb	1170	Native non-leg. forb	0	0	no	yes	NA	NA	0.8114	0.9231	0.8017	0.2407	NA	NA	0	0.3001	0.0113	0.2431	NA	0.0673	0.096
exotic_nonlegherb	329	Exotic non-leg. forb	25	25	no	yes	NA	NA	0.2159	0.4781	0.231	0.6077	NA	NA	0.696	0.0432	0.1303	-0.114	NA	0.1107	0.0754
native_legherb	128	Native leg. forb	54	54	yes	yes	0.0308656515837569	NA	1	1	0.2087	0.3205	0.2463	1.5532	0.4801	0.1253	0.9838	0.0018	1.3398	0.1774	0.0902
exotic_legherb	208	Exotic leg. forb	56	56	yes	yes	0.216686556711852	0.00284932850895242	0.5156	1	0.2987	0.0373	0.1475	0.8299	3e-04	1.3553	0.0703	0.2536	0.573	0.3747	0.1401
native_grass	955	Native grass	0	0	no	yes	NA	NA	0.7282	0.8878	0.4826	0.1905	NA	NA	0.4227	-0.0631	0.7206	0.0344	NA	0.0787	0.0961
exotic_grass	231	Exotic grass	42	42	yes	yes	0.410768932147435	0.911599424404874	1	1	0.7795	0.2068	0.0614	1.2889	1e-04	0.5412	4e-04	0.2936	0.6892	0.1368	0.0831
exotic_anngrass	226	Exotic annual grass	42	42	yes	yes	0.410768932147435	0.911599424404874	1	1	0.6951	0.2245	0.0096	2.0314	1e-04	0.5252	4e-04	0.2854	0.7841	0.138	0.0809
exotic_perengrass	5	Exotic perennial grass	139	144	yes	no	0.851821045610045	0.945880428640841	NA	NA	NA	NA	0.1919	0.9542	NA	NA	NA	NA	0.7312	NA	NA
c3_grass	823	C3 grass	0	0	no	yes	NA	NA	0.9858	0.5741	0.4568	0.0817	NA	NA	0.5406	0.0504	0.512	0.0529	NA	0.0824	0.0806
native_c3	595	Native C3 grass	0	0	no	yes	NA	NA	0.9723	0.9724	0.3544	0.0913	NA	NA	0.0986	-0.243	0.0084	-0.2266	NA	0.1471	0.086
native_c4	360	Native C4 grass	6	6	no	yes	NA	NA	0.3726	0.8737	0.4007	0.8182	NA	NA	2e-04	0.5204	9e-04	0.2765	NA	0.1373	0.0834
exotic_c3	228	Exotic C3 grass	42	42	yes	yes	0.410768932147435	0.911599424404874	1	1	0.8115	0.1932	0.1475	0.8299	0	0.2267	0.0088	0.2114	0.573	0.0531	0.0807
sed_rus	27	Sedge/Rush	120	120	yes	no	0.0809045050814591	0.114372414340387	NA	NA	NA	NA	0.2463	1.5532	NA	NA	NA	NA	1.3398	NA	NA
